Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI 	ET	LITTERFALL
2000	4	26	16.978464	11.897500	16.384700	8.148060	2.255347	-9999	5.623690	-9999	-9999	-9999	-9999
2000	4	27	11.817274	11.448400	16.727100	6.971090	1.612154	-9999	5.161440	-9999	-9999	-9999	-9999
2000	4	28	21.409748	9.899180	17.443800	4.846790	4.480965	-9999	0.000000	-9999	-9999	-9999	-9999
2000	4	29	21.053002	10.966300	18.210400	4.413530	6.137607	-9999	0.000000	-9999	-9999	-9999	-9999
2000	4	30	17.030995	10.392500	17.438500	5.760920	3.598804	-9999	3.904750	-9999	-9999	-9999	-9999
2000	5	1	14.028077	6.023130	11.556100	-0.801903	2.503983	-9999	1.906170	-9999	-9999	-9999	-9999
2000	5	2	7.555602	-0.160588	2.641790	-2.870630	0.697613	-9999	8.143490	-9999	-9999	-9999	-9999
2000	5	3	14.787274	1.378780	6.239850	-3.691550	1.141200	-9999	0.155995	-9999	-9999	-9999	-9999
2000	5	4	18.017252	4.966300	9.549200	-0.624596	1.840026	-9999	0.541617	-9999	-9999	-9999	-9999
2000	5	5	16.139520	7.518980	11.931300	2.072150	1.908640	-9999	0.849086	-9999	-9999	-9999	-9999
2000	5	6	16.490822	9.623680	14.983800	5.104040	2.586578	-9999	0.024414	-9999	-9999	-9999	-9999
2000	5	7	20.887027	13.349400	20.307200	5.601230	5.175797	-9999	0.004038	-9999	-9999	-9999	-9999
2000	5	8	10.750320	12.061300	16.566800	8.238900	1.610298	-9999	6.025610	-9999	-9999	-9999	-9999
2000	5	9	17.496000	14.066800	19.255300	8.061410	4.514204	-9999	0.428233	-9999	-9999	-9999	-9999
2000	5	10	14.811898	12.989800	18.359000	8.004770	2.332550	-9999	2.011440	-9999	-9999	-9999	-9999
2000	5	11	17.922471	14.846900	21.751500	8.445080	3.164095	-9999	0.058135	-9999	-9999	-9999	-9999
2000	5	12	20.543932	16.126900	24.051600	9.946660	4.369914	-9999	0.000632	-9999	-9999	-9999	-9999
2000	5	13	17.895860	16.451600	23.953200	9.671520	4.371272	-9999	6.791890	-9999	-9999	-9999	-9999
2000	5	14	4.973901	13.437700	17.090600	10.710400	1.060433	-9999	12.302300	-9999	-9999	-9999	-9999
2000	5	15	17.275334	14.095100	19.317500	9.394420	2.390708	-9999	5.419780	-9999	-9999	-9999	-9999
2000	5	16	6.041589	8.846800	13.419000	4.364690	1.504844	-9999	11.669200	-9999	-9999	-9999	-9999
2000	5	17	9.642326	7.649650	12.099600	2.614200	1.585008	-9999	2.840160	-9999	-9999	-9999	-9999
2000	5	18	22.019904	9.511650	14.989400	3.070440	2.580796	-9999	0.000000	-9999	-9999	-9999	-9999
2000	5	19	21.442061	13.058400	18.858800	5.789860	3.826760	-9999	0.000000	-9999	-9999	-9999	-9999
2000	5	20	22.161858	15.438200	23.280200	7.192120	3.920135	-9999	0.165937	-9999	-9999	-9999	-9999
2000	5	21	22.264071	17.071800	25.424000	10.675900	5.033575	-9999	0.000000	-9999	-9999	-9999	-9999
2000	5	22	23.439889	16.292400	24.343700	9.602700	5.886784	-9999	0.235306	-9999	-9999	-9999	-9999
2000	5	23	5.182341	7.534170	13.162200	3.133090	1.401846	-9999	19.836800	-9999	-9999	-9999	-9999
2000	5	24	15.780356	7.201050	11.347500	1.534550	2.409481	-9999	2.504470	-9999	-9999	-9999	-9999
2000	5	25	14.296348	7.362420	11.698300	2.750860	2.606485	-9999	1.967990	-9999	-9999	-9999	-9999
2000	5	26	19.275321	11.165700	16.890100	2.839090	2.786066	-9999	0.433073	-9999	-9999	-9999	-9999
2000	5	27	10.842163	11.378100	15.407100	6.928170	1.838612	-9999	5.145470	-9999	-9999	-9999	-9999
2000	5	28	12.023252	6.655480	10.632700	1.992870	1.852689	-9999	5.675600	-9999	-9999	-9999	-9999
2000	5	29	22.472121	10.226300	18.043000	1.857760	3.064693	-9999	0.002539	-9999	-9999	-9999	-9999
2000	5	30	20.168006	13.378600	19.836000	5.884650	3.237115	-9999	0.173067	-9999	-9999	-9999	-9999
2000	5	31	11.841811	14.194400	18.330800	8.107280	2.012723	-9999	4.105510	-9999	-9999	-9999	-9999
2000	6	1	17.547235	14.089000	19.859900	9.614840	3.186168	-9999	0.216139	-9999	-9999	-9999	-9999
2000	6	2	18.584899	10.515100	15.484600	5.476140	3.094938	-9999	7.631520	-9999	-9999	-9999	-9999
2000	6	3	13.804474	8.529330	12.745400	4.709570	1.815639	-9999	11.308900	-9999	-9999	-9999	-9999
2000	6	4	8.679312	6.931370	10.120500	4.712950	1.520038	-9999	7.657520	-9999	-9999	-9999	-9999
2000	6	5	8.405459	6.446630	10.291900	3.338810	1.656559	-9999	3.519770	-9999	-9999	-9999	-9999
2000	6	6	11.225175	5.590920	7.992510	2.087860	1.229915	-9999	5.640880	-9999	-9999	-9999	-9999
2000	6	7	18.980351	11.730400	17.483900	4.062620	2.752348	-9999	0.730450	-9999	-9999	-9999	-9999
2000	6	8	10.971072	12.283300	16.313200	8.176330	1.642339	-9999	4.171100	-9999	-9999	-9999	-9999
2000	6	9	8.560754	12.150700	15.655700	8.485050	1.661296	-9999	5.860100	-9999	-9999	-9999	-9999
2000	6	10	16.788816	12.921600	17.454400	8.108280	2.444487	-9999	0.481186	-9999	-9999	-9999	-9999
2000	6	11	5.586063	11.168200	14.454400	6.753240	1.713831	-9999	11.116800	-9999	-9999	-9999	-9999
2000	6	12	10.859097	10.445800	14.182900	5.757450	1.565646	-9999	17.743800	-9999	-9999	-9999	-9999
2000	6	13	5.164569	8.597140	10.721800	6.518830	1.313870	-9999	3.095080	-9999	-9999	-9999	-9999
2000	6	14	8.487547	8.901590	12.379800	5.295020	1.799459	-9999	0.219242	-9999	-9999	-9999	-9999
2000	6	15	5.286695	8.435130	10.953200	5.206390	1.207201	-9999	6.852440	-9999	-9999	-9999	-9999
2000	6	16	20.570976	11.147100	16.420500	6.010960	2.839782	-9999	0.145080	-9999	-9999	-9999	-9999
2000	6	17	24.090049	14.952700	21.671600	7.738280	3.912396	-9999	0.000000	-9999	-9999	-9999	-9999
2000	6	18	19.393690	15.814700	21.866000	9.863130	3.493149	-9999	0.543948	-9999	-9999	-9999	-9999
2000	6	19	16.544822	17.060200	23.845600	11.431500	5.469926	-9999	0.079491	-9999	-9999	-9999	-9999
2000	6	20	10.482221	12.620300	19.774900	9.916450	1.517673	-9999	3.130850	-9999	-9999	-9999	-9999
2000	6	21	7.519919	10.089000	14.860600	5.700010	1.282259	-9999	0.620002	-9999	-9999	-9999	-9999
2000	6	22	23.289984	12.600900	18.503800	5.174960	3.319976	-9999	0.298354	-9999	-9999	-9999	-9999
2000	6	23	16.338586	14.579900	19.527200	9.666080	3.123626	-9999	1.741670	-9999	-9999	-9999	-9999
2000	6	24	22.951727	16.139100	23.544900	9.261200	4.636662	-9999	0.000000	-9999	-9999	-9999	-9999
