year,mo,day,leFMDS_Wm2,hFMDS_Wm2
2005,7,18,53.4166666666667,16.225
2005,7,19,70.9388895833333,-45.725
2005,7,20,81.3638958333333,-58.8244791666667
2005,7,21,48.1958333333333,-28.04375
2005,7,22,83.6104166666667,58.7083333333333
2005,7,23,55.1589716666667,-25.4244958333333
2005,7,24,44.3496233125,-28.5656354166667
2005,7,25,16.9602430625,-10.2302583333333
2005,7,26,63.9333333333333,-16.6166666666667
2005,7,27,64.4869791666667,17.7453125
2005,7,28,38.7717279166667,10.5548735416667
2005,7,29,16.5541666666667,9.25416666666667
2005,7,30,28.0629604166667,-22.0640625
2005,7,31,66.052573125,29.3490104166667
2005,8,1,69.7175079166667,-38.02508125
2005,8,2,37.954184375,-28.02220625
2005,8,3,64.8239583333333,24.9479166666667
2005,8,4,62.7066933333333,-4.31747291666667
2005,8,5,64.1037208333333,-3.69678333333333
2005,8,6,64.283063125,-6.348625
2005,8,7,65.772960625,-10.104630625
2005,8,8,53.4456123333333,-6.817596875
2005,8,9,63.6958584791667,9.71552541666667
2005,8,10,63.55177521875,-6.540911875
2005,8,11,51.96275375,-5.73647395833333
2005,8,12,63.5175783541667,4.77938166666667
2005,8,13,60.9948236029167,-12.5223860416667
2005,8,14,50.3658461777083,-16.3592014583333
2005,8,15,55.8583846997917,4.3949
2005,8,16,12.4363643708333,-18.995894375
2005,8,17,47.7354940208333,-18.20046
2005,8,18,53.811867125,8.287053125
2005,8,19,11.7663758541667,-17.6085964583333
2005,8,20,45.9133268125,-22.6715204166667
2005,8,21,52.0274574166667,-0.159530208333333
2005,8,22,19.9354058958333,-5.83255895833333
2005,8,23,20.8147803916667,-4.83402979166667
2005,8,24,24.1183493333333,-0.608417291666667
2005,8,25,-2.02968458333333,-37.7979166666667
2005,8,26,76.66875,-31.5041666666667
2005,8,27,60.4611458333333,-6.39270833333333
2005,8,28,63.1372279375,-41.4945541666667
2005,8,29,73.5770833333333,-16.5104166666667
2005,8,30,58.8609375,40.2083333333333
2005,8,31,50.03151975,62.07331875
2005,9,1,52.376237625,56.7894666666667
2005,9,2,15.2586261458333,-12.5477270833333
2005,9,3,65.5265625,42.0296875
2005,9,4,28.5098417291667,17.5728770833333
2005,9,5,50.8541328333333,43.52213125
2005,9,6,44.98969774375,23.9448270833333
2005,9,7,50.138040875,-13.5668
2005,9,8,64.0520042291667,-6.52881666666667
2005,9,9,42.3479166666667,15.6395833333333
2005,9,10,39.2859375,26.4380208333333
2005,9,11,27.99375,16.9708333333333
2005,9,12,47.6067708333333,-7.00833333333333
2005,9,13,37.13125,11.05625
2005,9,14,32.7830208333333,-115.2
2005,9,15,43.9604166666667,-91.55625
2005,9,16,34.2458333333333,51.1458333333333
2005,9,17,30.928161875,21.19768125
2005,9,18,9.06042854166667,-66.8915541666667
2005,9,19,16.20625,-13.9208333333333
2005,9,20,28.175,5.71041666666667
2005,9,21,12.7282339375,-2.12100208333333
2005,9,22,17.9188798541667,-4.17899791666667
2005,9,23,21.2240333333333,33.5798270833333
2005,9,24,32.0708333333333,25.6125
2005,9,25,26.2083333333333,25.1416666666667
2005,9,26,19.7229166666667,15.65625
2005,9,27,16.5532997291667,1.216775
2005,9,28,33.5827729166667,-37.06875
2005,9,29,15.91308025,-0.860633333333334
2005,9,30,30.8988416666667,-14.13125
2005,10,1,1.70452800625,-19.8685625
2005,10,2,31.9225663208333,13.463865
2005,10,3,24.2026571458333,4.25982979166667
2005,10,4,20.6104604166667,7.6297843125
