year,mo,day,neeCutRef_gCm2d1,neeVutRef_gCm2d1,neeCutRef_qc,neeVutRef_qc,neeCutRefJointunc_gCm2d1,neeVutRefJointunc_gCm2d1,recoNtVutRef_gCm2d1,recoNtVutSe_gCm2d1,recoNtCutRef_gCm2d1,recoNtCutSe_gCm2d1,recoDtVutRef_gCm2d1,recoDtVutSe_gCm2d1,recoDtCutRef_gCm2d1,recoDtCutSe_gCm2d1,gppNtVutRef_gCm2d1,gppNtVutSe_gCm2d1,gppNtCutRef_gCm2d1,gppNtCutSe_gCm2d1,gppDtVutRef_gCm2d1,gppDtVutSe_gCm2d1,gppDtCutRef_gCm2d1,gppDtCutSe_gCm2d1
2001,8,9,-2.4293309516658,-2.34841323086932,0.38914668,0.36752742,1.68715368969732,1.6861592685951,4.4399273202882,0.025192746400068,4.4650298754594,0.0184852254874482,4.7545571673054,0.17784768597804,4.756294491039,0.15106849233606,6.8645924032608,0.059189627279718,6.87056370773058,0.0551884926757086,6.6357762092505,0.12342867305213,6.64175875573548,0.104222360042178
2001,8,10,-3.7023791310324,-3.6888128291898,0.3242889,0.30266964,1.7206891182819,1.69838645185404,4.495637558997,0.02459349726561,4.523813940555,0.01613610761139,5.2091939906604,0.136719264126042,5.2687697530572,0.098539175342322,8.20001115324144,0.036227767995198,8.19951032146428,0.0284879008258884,8.41133972241108,0.105381681509567,8.43518665258074,0.0854585795778156
2001,8,11,-0.84525008909562,-0.84845365266168,0.99448596,0.95124744,1.569399374439,1.55749665303414,4.0085020154322,0.029799363187386,4.0323002806476,0.019724939362206,5.00137798914,0.099821002886982,5.1294625921656,0.063926690358024,4.90590910975932,0.066575763143604,4.85324770557276,0.059303502407916,6.37177471282872,0.0877683354401459,6.3957839387832,0.0751599214797319
2001,8,12,-1.5872723409699,-1.58289126278868,0.45400446,0.45400446,1.63009207428444,1.60018431428934,4.236026999139,0.026395097221116,4.2811677978264,0.0157794646240296,5.3516281613184,0.102047996373804,5.472821625219,0.060026965000704,5.8295648178495,0.080648967451572,5.83987876145622,0.0663576239454336,6.99218655175404,0.0900586061444885,7.02909363365118,0.0765787623169397
2001,8,13,-1.5794560056132,-1.41694387685838,0.60533928,0.56210076,1.52563974379596,1.46756853056034,4.6852760867094,0.021526560936972,4.7412159219594,0.0122608338533226,5.617078299495,0.106247857593852,5.7005969599566,0.046726184423646,6.17935175414388,0.06150325995099,6.31591757124822,0.05765480466876,6.94198537611696,0.0930020156641134,6.99284805787152,0.0658092391898421
2001,8,14,-2.97296090773812,-2.82263949055062,0.84315114,0.73505484,1.63148874333822,1.59093228711456,4.9207156653096,0.025602963210864,4.983298882965,0.0184895333411958,4.6881121012362,0.14248387333674,4.6281240595512,0.059103411832764,7.78929547802094,0.054695188508688,7.97830168561686,0.051160558404618,8.52403830886062,0.0998247836199323,8.58439214842482,0.0429816812562762
2001,8,15,-1.6780778811108,-1.5028479416106,0.47562372,0.38914668,NA,NA,5.7964141688544,0.03494366394246,5.8806523182888,0.028220885885673,5.7658464809478,0.125985031295292,5.6702110900266,0.073511351467164,7.43456601136314,0.08374911096357,7.60965049648206,0.070764849324468,8.3944405305891,0.0798281731212746,8.43511193641818,0.043525038154609
2001,8,16,-0.9688478957586,-0.9944623950066,0.36752742,0.34590816,NA,NA,6.2587604203254,0.0395998904457,6.3405037071558,0.0326129349765726,6.6657579071148,0.06080973570945,6.6015474077592,0.0369050496867,7.28075779668432,0.072984777637122,7.38929456748756,0.064478424682854,6.60055093282728,0.0321832018328161,6.60281637184416,0.0189269291851998
2001,8,17,-1.42095829239,-1.4429671314552,0.28105038,0.15133482,NA,NA,6.7106198173482,0.04495014924309,6.7879413169308,0.03714694758684,7.1552106029664,0.031585027586346,7.121757176235,0.022696595288172,8.22994148374398,0.064453545238446,8.2994277743559,0.056778452831178,7.7588377456707,0.0196365891170994,7.75211607992484,0.0137607861263823
2001,8,18,-1.8842538455676,-1.925587492569,0.12971556,0.1080963,NA,NA,6.3803609748918,0.030536716154724,6.4377743789034,0.0228245973056244,6.4136656611144,0.034743733349832,6.4140878852622,0.02054491249356,8.30594773240596,0.045949960026828,8.41639638084804,0.0334373696746128,8.64993947472252,0.0246409309844204,8.64322345160352,0.0205245781840068
2001,8,19,-2.4101726120316,-2.18997344429136,0.71343558,0.62695854,NA,NA,6.4176652242144,0.040902935132124,6.4277603376714,0.032061137739696,6.4184335727148,0.046850996735478,6.433594511175,0.030741943466052,8.629134136623,0.0816687410276088,8.99150510368188,0.0706846291145046,8.81317621621476,0.0296891021292629,8.80391575752858,0.0270614057891262
2001,8,20,-2.11108413759282,-2.1773300967632,0.77829336,0.69181632,NA,NA,6.3597736021716,0.037287152811792,6.3411546630744,0.031100539969746,6.8365241180028,0.07089426653868,6.8452139795598,0.055826018493804,8.46917243197038,0.08893522552941,8.6369885218773,0.077468017631472,8.8279564178871,0.0519510417411305,8.81472925737612,0.0458938746939582
2001,8,21,4.10645953107,3.9933274568382,0.4323852,0.41076594,1.7209462793796,1.7270850682566,5.8702402664802,0.020504348276022,5.853593003895,0.017595435766428,6.4129115813256,0.061595180720658,6.4724092981938,0.044772603232266,1.77383321568648,0.060895773878472,1.88434224672174,0.05333456308518,2.70125914976658,0.026853038665106,2.69907854472594,0.0211020817706384
2001,8,22,-0.74646384236424,-0.86521130318844,0.4323852,0.36752742,NA,NA,5.8061921277672,0.022904507711592,5.794997242554,0.020366977336056,6.0347522416428,0.065044153154682,6.1969388491998,0.054074090950074,6.66743861000646,0.060199361303796,6.6395310423273,0.052242169982418,7.0092009309933,0.0411809034704184,6.98527513376316,0.0367807452112854
2001,8,23,-2.4560888935752,-2.43036484953678,1.03772448,1.03772448,NA,NA,5.9858483945598,0.0286249928774004,5.9822777575782,0.0252413328764142,5.177993290821,0.1433679064974,5.856604566813,0.125672475167694,8.40446421401106,0.054702945499176,8.49848401925172,0.0459234751361724,8.83043724959136,0.0883154502717573,8.79867317345562,0.0762139007657284
2001,8,24,-1.9702461817584,-2.12609999352301,0.92962818,0.90800892,NA,NA,5.9280685440912,0.022202021205819,5.9298525654264,0.0206217622608894,3.5169237139374,0.3323007815634,5.101632983538,0.28795315028688,7.88118381879894,0.0541003760787672,7.9201935250659,0.0500024062149066,7.81355613596922,0.175610023386408,7.79804695446894,0.154853458337448
2001,8,25,-0.34315535800494,-0.38857541267376,1.05934374,1.05934374,NA,NA,5.7171947144364,0.0209674248260958,5.7224767320396,0.0191355516370044,3.4037758576458,0.32533622343144,4.8628772266464,0.28089409436946,6.07281476489064,0.039146207031711,6.0625911465522,0.0341642999967048,6.11821845377964,0.141695310800135,6.11461320436278,0.124485183810786
2001,8,26,-2.088038936061,-2.2370455779516,0.92962818,0.88638966,NA,NA,5.3832437347572,0.0273949032486168,5.3904755934198,0.0249250895840232,4.973025410613,0.108004584613302,5.2248095821584,0.094076594712828,7.61105103538338,0.08731280816271,7.47422414409528,0.081104472288216,7.37420382676458,0.0549376305504687,7.37261109264186,0.0497083800826082
2001,8,27,-0.71511440201604,-0.71663769507564,0.38914668,0.38914668,NA,NA,4.6504971831474,0.0143784107519364,4.6549604793744,0.0134330089436478,5.3272143957708,0.027666960448842,5.0200864319736,0.026232816569778,5.36561121763602,0.0230291626352112,5.3674346508822,0.0216420977214936,5.05361604497724,0.0199452782552236,5.06192430497598,0.0177649396006196
2001,8,28,-3.1951359461268,-3.1995508152114,0.19457334,0.19457334,NA,NA,3.950807344848,0.0131625111406464,3.9510695864718,0.0114009225982002,4.2996712900752,0.039208763441484,4.095123472089,0.034282272407058,7.15036455936036,0.018861759058779,7.13558262814722,0.0169305812579592,7.93581004619208,0.0220350458521807,7.9383511091547,0.0158332369965871
2001,8,29,-1.84943641648428,-1.75821394891428,0.95124744,0.90800892,NA,NA,3.990041977896,0.0178589927060064,3.9916463431806,0.0156399868871766,4.0997117276388,0.06989878609272,4.0307352624162,0.06615155218581,5.71162838194494,0.0612502964488116,5.80872651037848,0.0551576819873196,5.9521731542208,0.0394626256995391,5.95239101150382,0.0333915989987853
