daily output file at cell level

Daily summary output from 3D-CMCC version 'f', time 'd', spatial 'u'


Cell 1, 1, Lat = 51.18, Long  = 4.31


Daily GPP = daily total gross primary production (gC/m2/day)
Daily NPP = daily total net primary production (tDM/m2/day)
Daily ET = daily canopy transpiration(mm/day)
Daily LAI = daily Leaf Area Index (m^2/m^2)
Daily F_SW = Daily Soil water modifier
Daily F_PSI = Daily Soil water modifier-BIOME
Daily F_T = Daily temperature modifier
Daily F_PSI = Daily VPD modifier



-YEAR      MONTH        DAY        GPP        NPP         ET        LAI       F_SW      F_PSI        F_T      F_VPD

-2001          6         11    17.0371  0.0865345   0.877635    4.32427          1          1     0.99079    0.839457
-2001          6         12    12.4569  0.0632709   0.637908     4.3246          1          1    0.999468    0.826133
-2001          6         13    11.1444  0.0566045   0.578194     4.3245          1          1    0.989551    0.811395
-2001          6         14    13.2128  0.0671099   0.744831    4.32538          1          1     0.93198    0.699073
-2001          6         15    9.66469  0.0490886   0.563908    4.32513          1          1    0.900682    0.699073
-2001          6         16    11.1402  0.0565827    0.57122    4.32504          1          1    0.987825    0.877218
-2001          6         17    7.77221  0.0394764   0.386121    4.32371          1          1     0.99957     0.97531
-2001          6         18    5.50175  0.0279443   0.282823    4.32167          1          1    0.975141    0.930066
-2001          6         19    15.7435   0.079964   0.822121    4.32319          1          1    0.995905    0.748264
-2001          6         20     12.075  0.0613311   0.725143    4.32388          1          1    0.877973    0.682495
-2001          6         21    14.7341  0.0748372   0.762145    4.32502          1          1    0.998552    0.781141
-2001          6         22    10.4762  0.0532103   0.535403    4.32465          1          1    0.999688     0.83527
-2001          6         23    12.7758  0.0648906   0.693963    4.32527          1          1    0.955926    0.755784
-2001          6         24    6.46453  0.0328344   0.533868    4.32492          1          1    0.647124    0.620022
-2001          6         25    8.34331  0.0423771   0.723594    4.32535          1          1    0.620539    0.585084
-2001          6         26          0          0   0.643632    4.32535          1          1           0    0.535797
-2001          6         27    4.91572  0.0249678    0.32332    4.32388          1          1    0.785806    0.782313
-2001          6         28    11.2999  0.0573939   0.659201    4.32427          1          1    0.884196    0.788203
-2001          6         29    8.20965  0.0416982   0.557124    4.32406          1          1    0.764471    0.761093
-2001          6         30    9.23481  0.0469052   0.592608    4.32401          1          1    0.812812    0.734915
-2001          7          1    13.3926  0.0680231   0.787389    4.32515          1          1    0.881854    0.762617
-2001          7          2    6.05385  0.0307485    0.36796    4.32383          1          1    0.848072    0.794136
-2001          7          3    7.11797  0.0361534   0.773158    4.32436          1          1    0.490015    0.636991
-2001          7          4          0          0   0.639328    4.32436          1          1           0    0.503335
-2001          7          5          0          0    0.54157    4.32436          1          1           0    0.502832
-2001          7          6    2.40027  0.0121914   0.505858     4.3242          1          1    0.247319    0.738968
-2001          7          7    7.82289  0.0397338   0.481346    4.32362          1          1    0.820321    0.894939
-2001          7          8    1.90216 0.00966137   0.096131    4.32026          1          1    0.986028    0.960309
-2001          7          9    6.98087   0.035457   0.373747    4.31883          1          1    0.957009     0.82407
-2001          7         10    8.04067  0.0408399   0.457666    4.31802          1          1    0.896646      0.8424
-2001          7         11    11.0003  0.0558722   0.586049    4.31794          1          1    0.975244    0.755028
-2001          7         12    9.33382  0.0474081    0.47944    4.31719          1          1    0.994795    0.836524
-2001          7         13    11.6318  0.0590798   0.615169    4.31732          1          1    0.979147    0.771052
-2001          7         14    4.73097  0.0240294   0.236827    4.31493          1          1    0.998049    0.947906
-2001          7         15    10.7188  0.0544425   0.547479    4.31466          1          1    0.996312    0.856843
-2001          7         16     11.272  0.0572523    0.60841    4.31472          1          1    0.966749    0.734915
-2001          7         17     11.944  0.0606654     0.6835    4.31524          1          1    0.911726    0.734915
-2001          7         18    8.12617  0.0412742    0.40543    4.31405          1          1     0.99804    0.964158
-2001          7         19    9.15184  0.0464838   0.459491    4.31323          1          1    0.995932     0.94365
-2001          7         20    8.02965   0.040784   0.405274    4.31201          1          1    0.999109    0.902578
-2001          7         21    5.09344  0.0258704   0.257065    4.30977          1          1    0.991596    0.940823
-2001          7         22    9.14044  0.0464259   0.615877    4.30992          1          1    0.760512    0.823658
-2001          7         23     8.3681   0.042503   0.497302    4.30943          1          1    0.848039    0.905743
-2001          7         24    11.1639  0.0567032   0.800944    4.31044          1          1    0.723649    0.759192
-2001          7         25    8.92985  0.0453562   0.738252    4.31104          1          1    0.630873    0.737123
-2001          7         26    3.56955  0.0181304   0.629549    4.31108          1          1     0.30177    0.641145
-2001          7         27    2.54716  0.0129375   0.605108    4.31108          1          1    0.220146    0.724698
-2001          7         28    8.71343   0.044257   0.750977    4.31173          1          1     0.60132     0.76759
-2001          7         29    7.15736  0.0363534   0.680899    4.31201          1          1    0.554128    0.685916
-2001          7         30    2.08735   0.010602   0.589364    4.31198          1          1    0.187855    0.657375
-2001          7         31    9.46982  0.0480988    0.63441    4.31219          1          1    0.772678    0.773755
-2001          8          1    11.5661  0.0587461   0.664555    4.31261          1          1    0.904721    0.753143
-2001          8          2    6.34894  0.0322473   0.487515    4.31209          1          1    0.678537    0.743416
-2001          8          3    7.28415  0.0369974   0.438285    4.31122          1          1    0.847874    0.845777
-2001          8          4    9.42842  0.0478885   0.508694    4.31068          1          1    0.953957    0.802519
-2001          8          5    11.1193   0.056477   0.586532    4.31068          1          1    0.967114    0.845354
-2001          8          6    5.87038  0.0298167   0.318218    4.30895          1          1    0.935444    0.876779
-2001          8          7    5.51701  0.0280218    0.29175    4.30703          1          1    0.952683    0.908918
-2001          8          8    10.7645  0.0546749   0.575968    4.30695          1          1    0.956383    0.831104
-2001          8          9     8.5072  0.0432095   0.433224    4.30595          1          1    0.987176    0.918972
-2001          8         10    10.0466  0.0510285   0.508967    4.30545          1          1    0.997611    0.892704
-2001          8         11    11.9872   0.060885   0.648436    4.30582          1          1    0.954731    0.786235
-2001          8         12    4.97655  0.0252768   0.295923    4.30399          1          1    0.884445    0.704336
-2001          8         13    4.79627  0.0243611    0.32428    4.30259          1          1    0.761093    0.807348
-2001          8         14          0          0   0.586134    4.30259          1          1           0    0.625002
-2001          8         15          0          0   0.494558    4.30259          1          1           0    0.602601
-2001          8         16    5.61355  0.0285122   0.403769    4.30163          1          1    0.725535    0.738968
-2001          8         17    9.57304  0.0486231   0.581512    4.30156          1          1    0.852465    0.774529
-2001          8         18    7.10416  0.0360832   0.608218    4.30162          1          1    0.605822    0.766439
-2001          8         19    7.97433   0.040503    0.48484    4.30102          1          1    0.842084    0.830274
-2001          8         20     7.1811   0.036474   0.414824    4.29998          1          1    0.883085    0.848742
-2001          8         21    7.84368  0.0398394   0.587897    4.29997          1          1    0.687624    0.797718
-2001          8         22    5.09495  0.0258781   0.581478    4.29992          1          1    0.458184    0.727603
-2001          8         23          0          0    0.43619    4.29992          1          1           0     0.65639
-2001          8         24          0          0   0.450446    4.29992          1          1           0    0.555715
-2001          8         25          0          0   0.439955    4.29992          1          1           0    0.493862
-2001          8         26          0          0   0.394718    4.29992          1          1           0    0.627194
-2001          8         27    11.1086  0.0564225   0.602507    4.30001          1          1    0.946834    0.815055
-2001          8         28    11.2355  0.0570672   0.600561    4.30006          1          1    0.967315    0.781922
-2001          8         29    11.1309  0.0565358   0.604588    4.30014          1          1    0.951757    0.782705
-2001          8         30    4.04813  0.0205611   0.202535    4.29752          1          1    0.999517    0.947432
-2001          8         31    8.32957  0.0423073   0.418396    4.29642          1          1    0.997882    0.935663
-2001          9          1    10.1585  0.0515969   0.528447    4.29603          1          1     0.98353    0.834435
-2001          9          2    2.85631  0.0145077   0.141994    4.29299          1          1    0.997316    0.989555
-2001          9          3     4.2372  0.0215214   0.213576    4.29046          1          1    0.993119    0.944122
-2001          9          4    8.63191  0.0438429   0.431811    4.28948          1          1    0.997156     0.96127
-2001          9          5    6.45152  0.0327684   0.328783    4.28772          1          1    0.998694    0.863294
-2001          9          6    8.43458  0.0428407   0.430324    4.28672          1          1    0.984855     0.92589
-2001          9          7    4.11347   0.020893   0.209783    4.28415          1          1    0.995538    0.877657
-2001          9          8    7.24477  0.0367974   0.371149    4.28267          1          1    0.999713    0.833601
-2001          9          9    4.27882  0.0217328   0.226416    4.28037          1          1    0.944053    0.956476
-2001          9         10    8.98856  0.0456544   0.460644    4.27958          1          1    0.982897    0.915303
-2001          9         11    6.16844  0.0313306   0.312578    4.27777          1          1    0.988576    0.943178
-2001          9         12     4.1841  0.0212518   0.212404    4.27522          1          1    0.996567     0.89673
-2001          9         13    6.82166  0.0346484   0.345158    4.27361          1          1     0.99856    0.902127
-2001          9         14    8.59554  0.0436582   0.434515    4.27266          1          1    0.990632    0.946012
-2001          9         15    6.13511  0.0311613   0.312585    4.27087          1          1    0.982982    0.946012
-2001          9         16    6.68505  0.0339545   0.356439    4.26948          1          1    0.930885     0.99104
-2001          9         17    7.99447  0.0406053   0.411878    4.26841          1          1    0.969318    0.960789
-2001          9         18    7.03774  0.0357459   0.362952    4.26698          1          1    0.971947    0.942707
-2001          9         19    0.94852 0.00481769  0.0497398     4.2635          1          1    0.946715    0.988566
-2001          9         20    7.24927  0.0368203   0.363993    4.26205          1          1    0.998348     0.94365
-2001          9         21    9.15304  0.0464898   0.461949    4.26128          1          1    0.998301    0.918512
-2001          9         22    8.26767  0.0419929   0.421102    4.26023          1          1    0.989178    0.918972
-2001          9         23    4.72843  0.0240165   0.239878    4.25794          1          1    0.983655    0.967055
-2001          9         24    7.60914  0.0386481   0.383059    4.25664          1          1     0.99649    0.941294
-2001          9         25    7.72792  0.0392514   0.392658    4.25542          1          1    0.983404     0.96127
-2001          9         26    6.66618  0.0338586   0.335619    4.25379          1          1    0.992825    0.959829
-2001          9         27    4.14545  0.0210555   0.208772    4.25128          1          1    0.991392    0.966088
-2001          9         28    8.69091  0.0441426    0.45448    4.25046          1          1    0.971379    0.880734
-2001          9         29    5.22403  0.0265337    0.26095     4.2483          1          1    0.999773    0.965605
-2001          9         30    7.63964   0.038803   0.392213    4.24707          1          1    0.981551    0.921272
-2001         10          1    1.46306 0.00743114  0.0754231    4.24367          1          1    0.977306    0.927743
-2001         10          2    2.15054   0.010923   0.118326    4.24075          1          1    0.916654    0.921272
-2001         10          3    6.36949  0.0323517   0.324657    4.23903          1          1    0.994846    0.892704
-2001         10          4    7.99353  0.0406005   0.405239    4.23786          1          1    0.999589    0.895834
-2001         10          5    8.62587  0.0438123   0.440457    4.23693          1          1    0.996278    0.876779
-2001         10          6    4.92668  0.0250234    0.25156    4.23473          1          1    0.985278     0.93286
-2001         10          7    6.09763  0.0309709   0.313582    4.23294          1          1    0.990247    0.873279
-2001         10          8    5.41405  0.0274989    0.27846    4.23086          1          1    0.998683    0.832352
-2001         10          9    4.19664  0.0213155   0.213426    4.22835          1          1    0.999653    0.883822
-2001         10         10    6.72322  0.0341484   0.342028    4.22675          1          1    0.999961    0.879853
-2001         10         11    5.06571  0.0257296   0.259855    4.22458          1          1    0.993541     0.87197
-2001         10         12    7.14179  0.0362744   0.372644    4.22321          1          1    0.976562    0.872406
-2001         10         13    5.00147  0.0254033   0.298042    4.22156          1          1    0.858573    0.853423
-2001         10         14    3.67837  0.0186831   0.191391    4.21901          1          1    0.967836    0.932394
-2001         10         15    4.98387  0.0253139   0.281534    4.21715          1          1    0.908708    0.838618
-2001         10         16     6.8164  0.0346216   0.350256    4.21559          1          1    0.998661    0.839877
-2001         10         17    5.59319  0.0284088   0.282814    4.21361          1          1    0.997125     0.92728
-2001         10         18    3.89845  0.0198009   0.197237    4.21104          1          1    0.991306    0.954087
-2001         10         19    4.21151   0.021391    0.21415    4.20861          1          1    0.986542     0.95361
