Year	Month	n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI	ET	WS
2001	5	8	25.2167	12.3351	17.2614	7.8867	6.96599	8.85124	0	27.8457	-9999	-9999	-9999
2001	5	9	25.4459	14.7175	19.3305	10.0892	8.7609	9.18571	0	27.7557	-9999	-9999	-9999
2001	5	10	21.6421	14.9741	20.7933	9.9923	7.63458	9.62498	0	27.6244	-9999	-9999	-9999
2001	5	11	25.6359	13.8844	18.9007	8.583	6.69673	9.75622	0	27.4267	-9999	-9999	-9999
2001	5	12	25.2716	15.7808	21.7228	8.2863	7.88999	10.0837	0	27.181	-9999	-9999	-9999
2001	5	13	24.8646	15.7904	19.8531	10.6088	8.11256	10.3056	0	26.9523	-9999	-9999	-9999
2001	5	14	25.2968	15.141	19.5667	9.9131	7.26544	10.2831	0	26.6772	-9999	-9999	-9999
2001	5	15	7.36371	11.3994	14.3513	7.2068	0.843592	9.79775	0.64	26.5193	-9999	-9999	-9999
2001	5	16	14.524	12.9463	16.702	8.5637	2.2323	9.89614	0.612766	26.4621	-9999	-9999	-9999
2001	5	17	18.427	12.9378	16.6956	9.7219	2.54092	10.1563	0.208696	26.3195	-9999	-9999	-9999
2001	5	18	14.704	9.22402	11.6593	6.5669	1.72508	9.36289	6.12766	26.2738	-9999	-9999	-9999
2001	5	19	18.9463	9.21155	11.0063	7.5252	3.40037	8.72262	0	26.6063	-9999	-9999	-9999
2001	5	20	18.8908	10.0143	13.2451	6.8544	3.04665	8.74564	0	26.4063	-9999	-9999	-9999
2001	5	21	22.3416	10.1308	13.3122	7.3513	3.79972	8.92437	0	26.2165	-9999	-9999	-9999
2001	5	22	27.9665	11.2744	15.3148	4.4928	5.74907	8.80937	0	26.0526	-9999	-9999	-9999
2001	5	23	27.4872	13.5132	17.6657	8.4651	5.24971	9.3681	0	25.7984	-9999	-9999	-9999
2001	5	24	19.9455	11.7036	16.4893	7.7959	3.38291	9.43095	0	25.6262	-9999	-9999	-9999
2001	5	25	27.2171	11.8296	17.2342	6.2314	5.54509	9.38	0	25.3855	-9999	-9999	-9999
2001	5	26	20.3567	13.4447	17.6334	6.4607	5.91408	9.44433	0	25.1023	-9999	-9999	-9999
2001	5	27	21.3831	13.1294	17.8221	9.8886	3.58315	9.90427	2.24681	24.942	-9999	-9999	-9999
2001	5	28	16.97	14.1053	17.9803	10.1382	2.27598	10.4806	0	25.1447	-9999	-9999	-9999
2001	5	29	11.7274	11.6841	14.7247	10.1811	1.18165	10.2297	6.12766	25.3316	-9999	-9999	-9999
2001	5	30	12.5588	11.213	13.765	9.6946	1.3977	9.93908	1.02128	25.4649	-9999	-9999	-9999
2001	5	31	12.8047	11.4216	14.1798	9.2424	1.0598	9.97766	10.417	26.2861	-9999	-9999	-9999
2001	6	1	14.0019	11.4366	13.8645	8.4493	1.89426	10.0871	1.02128	26.9559	-9999	-9999	-9999
2001	6	2	10.379	9.89005	12.1879	7.5966	0.783339	9.84876	10.6213	27.1717	-9999	-9999	-9999
2001	6	3	9.13916	9.43598	12.4983	6.8007	0.669115	9.55167	3.06383	28.2082	-9999	-9999	-9999
2001	6	4	19.8595	10.0855	12.9186	7.7209	1.5573	9.63038	3.13043	28.2843	-9999	-9999	-9999
2001	6	5	9.7845	10.9621	13.3166	8.7352	1.66958	9.68114	1.22553	28.0658	-9999	-9999	-9999
2001	6	6	14.5037	12.7321	16.3589	9.31502	2.32128	10.0542	0	27.6147	-9999	-9999	-9999
2001	6	7	15.5959	11.4803	14.0571	8.3564	1.83345	10.2141	4.90213	27.767	-9999	-9999	-9999
2001	6	8	20.6169	9.92619	12.7245	6.9436	3.19851	9.62819	0	27.4238	-9999	-9999	-9999
2001	6	9	24.7394	9.96006	12.6581	6.0356	3.85426	9.23733	0	27.0941	-9999	-9999	-9999
2001	6	10	13.5152	10.0971	12.5921	6.9768	2.61449	9.13754	1.02128	26.9231	-9999	-9999	-9999
2001	6	11	20.6441	9.73082	12.0915	6.82	3.05821	8.91811	0	26.7669	-9999	-9999	-9999
2001	6	12	24.005	10.6513	13.3007	8.1093	3.08008	9.26699	0.612766	26.6044	-9999	-9999	-9999
2001	6	13	24.0523	9.84229	13.3567	5.2688	3.05423	9.15288	0	26.4328	-9999	-9999	-9999
2001	6	14	21.7639	11.1566	14.8742	7.3725	3.28265	9.3058	0	26.2643	-9999	-9999	-9999
2001	6	15	25.1664	11.97	16.3752	7.4119	3.75242	9.63623	0	26.1421	-9999	-9999	-9999
2001	6	16	7.75361	10.9566	12.6379	9.4128	0.68296	9.90203	8.13913	27.4715	-9999	-9999	-9999
2001	6	17	26.4219	12.7192	15.5896	8.1469	2.86093	10.1416	0	27.0996	-9999	-9999	-9999
2001	6	18	28.2433	14.5017	18.2189	10.3741	4.6444	10.6787	0	26.6633	-9999	-9999	-9999
2001	6	19	20.1657	12.8331	16.5075	9.7053	2.1233	10.7922	0	26.4516	-9999	-9999	-9999
2001	6	20	19.5535	13.1156	16.7548	8.1692	3.0327	10.7583	0.204255	26.1089	-9999	-9999	-9999
2001	6	21	17.8387	12.7579	16.317	10.068	2.75305	10.8895	3.33913	25.9725	-9999	-9999	-9999
2001	6	22	13.4752	12.1392	14.7566	9.788	1.06554	10.767	4.38261	26.5912	-9999	-9999	-9999
2001	6	23	27.6424	15.1626	17.8749	11.5043	3.74309	11.4246	0	26.3011	-9999	-9999	-9999
