Month	n_days	Rg_f	Ta_f	Tmax	Tmin	Rh_f	Ts_f	Precip	SWC	LAI	ET	LITTERFALL
5	3	15.442272	14.956400	23.924900	9.759710	83.549900	-9999	7.316560	-9999	-9999	-9999	-9999
5	4	3.801565	4.125510	12.057400	1.191110	94.479800	-9999	15.497100	-9999	-9999	-9999	-9999
5	5	8.930304	3.678000	6.592110	1.112400	93.319400	-9999	12.384800	-9999	-9999	-9999	-9999
5	6	10.598774	4.834530	7.961590	1.310580	80.498800	-9999	1.118910	-9999	-9999	-9999	-9999
5	7	15.573945	7.004120	11.542600	2.342870	76.908400	-9999	0.307259	-9999	-9999	-9999	-9999
5	8	15.289603	7.821190	13.431100	2.201940	81.330300	-9999	1.072820	-9999	-9999	-9999	-9999
5	9	6.324463	6.345270	9.872870	1.962170	86.966300	-9999	2.718260	-9999	-9999	-9999	-9999
5	10	8.659526	5.374450	9.309920	1.790230	89.217400	-9999	4.244820	-9999	-9999	-9999	-9999
5	11	10.815811	7.957330	12.690900	1.956950	88.137100	-9999	1.396240	-9999	-9999	-9999	-9999
5	12	18.220205	10.517000	16.022500	6.027960	79.427500	-9999	0.649388	-9999	-9999	-9999	-9999
5	13	11.649312	10.338000	14.776000	4.923220	88.419300	-9999	3.600700	-9999	-9999	-9999	-9999
5	14	8.307576	10.397600	13.746000	7.351940	90.268100	-9999	3.902480	-9999	-9999	-9999	-9999
5	15	9.845193	3.613490	10.369800	1.303380	90.555700	-9999	15.443200	-9999	-9999	-9999	-9999
5	16	8.671968	5.341180	9.676710	1.332500	82.552700	-9999	1.235660	-9999	-9999	-9999	-9999
5	17	20.960554	9.583130	16.990400	1.857280	76.241100	-9999	0.133254	-9999	-9999	-9999	-9999
5	18	18.569866	11.990600	18.820500	4.315800	77.824900	-9999	0.388264	-9999	-9999	-9999	-9999
5	19	15.832022	13.225400	19.832700	6.549230	85.794200	-9999	1.062350	-9999	-9999	-9999	-9999
5	20	12.428381	11.349600	17.268900	5.625980	83.075300	-9999	1.307140	-9999	-9999	-9999	-9999
5	21	9.446112	9.671660	12.296700	5.838840	85.692300	-9999	17.762800	-9999	-9999	-9999	-9999
5	22	10.686470	10.425900	15.802700	5.952490	84.698500	-9999	1.191360	-9999	-9999	-9999	-9999
5	23	18.414000	13.457300	19.268900	7.010470	80.219700	-9999	0.002064	-9999	-9999	-9999	-9999
5	24	12.430627	13.405300	21.088600	7.646520	80.633500	-9999	7.991850	-9999	-9999	-9999	-9999
5	25	14.983142	10.402100	15.370900	7.227330	82.763800	-9999	3.402610	-9999	-9999	-9999	-9999
5	26	6.769448	9.851130	13.182100	7.013370	88.533800	-9999	5.257670	-9999	-9999	-9999	-9999
5	27	13.883271	11.037700	14.757900	6.201000	86.095700	-9999	3.493710	-9999	-9999	-9999	-9999
5	28	9.322041	12.698000	17.193500	8.777440	91.360800	-9999	16.265900	-9999	-9999	-9999	-9999
5	29	6.147853	10.040000	13.761900	7.302920	89.218000	-9999	20.418800	-9999	-9999	-9999	-9999
5	30	9.381139	9.355040	13.700800	6.223180	84.754100	-9999	2.531060	-9999	-9999	-9999	-9999
5	31	13.656471	10.118800	14.157200	6.472240	85.922100	-9999	0.782571	-9999	-9999	-9999	-9999
6	1	18.850148	10.888200	15.434000	5.592810	80.828300	-9999	1.773290	-9999	-9999	-9999	-9999
6	2	8.870083	7.368110	10.971100	5.474060	87.248000	-9999	30.286900	-9999	-9999	-9999	-9999
6	3	12.306644	7.094580	10.380500	4.502080	83.828400	-9999	8.553050	-9999	-9999	-9999	-9999
