Month		n_days	Rg_f	Ta_f	Tmax	Tmin	VPD_f	Ts_f	Precip	SWC	LAI
5	31	152	23.81	12.97	16.20	8.60	0.28	-9999	9.10	-9999	-9999
6	1	153	12.51	10.47	13.35	8.00	0.11	-9999	3.90	-9999	-9999
6	2	154	5.65	7.71	11.60	6.85	0.02	-9999	10.60	-9999	-9999
6	3	155	4.00	8.21	9.20	6.85	0.02	-9999	20.90	-9999	-9999
6	4	156	1.82	8.76	10.40	8.00	0.03	-9999	13.80	-9999	-9999
6	5	157	12.77	9.29	11.30	8.15	0.07	-9999	5.00	-9999	-9999
6	6	158	8.66	9.15	11.55	7.15	0.08	-9999	0.50	-9999	-9999
6	7	159	21.76	14.32	17.30	10.50	0.31	-9999	0.10	-9999	-9999
6	8	160	26.49	18.12	21.35	14.35	0.37	-9999	0.00	-9999	-9999
6	9	161	23.84	21.61	24.60	18.60	0.38	-9999	0.00	-9999	-9999
6	10	162	23.84	21.86	24.40	19.70	0.35	-9999	0.00	-9999	-9999
6	11	163	15.80	15.98	20.90	13.65	0.11	-9999	6.05	-9999	-9999
6	12	164	9.24	12.55	14.15	10.40	0.11	-9999	0.20	-9999	-9999
6	13	165	8.96	9.11	10.15	7.65	0.08	-9999	0.20	-9999	-9999
6	14	166	17.41	12.11	15.60	8.80	0.18	-9999	0.10	-9999	-9999
6	15	167	18.74	14.36	16.40	12.75	0.24	-9999	4.40	-9999	-9999
6	16	168	8.07	11.56	14.85	8.90	0.13	-9999	11.10	-9999	-9999
6	17	169	26.78	13.70	17.80	9.10	0.29	-9999	0.00	-9999	-9999
6	18	170	10.15	13.55	16.50	11.65	0.18	-9999	6.20	-9999	-9999
6	19	171	12.54	12.91	16.45	9.75	0.13	-9999	29.70	-9999	-9999
6	20	172	3.91	7.85	9.40	7.20	0.01	-9999	27.00	-9999	-9999
6	21	173	17.63	10.94	13.40	7.55	0.18	-9999	0.00	-9999	-9999
6	22	174	19.13	14.17	17.60	11.75	0.21	-9999	1.30	-9999	-9999
6	23	175	21.35	16.50	21.25	12.40	0.23	-9999	19.60	-9999	-9999
6	24	176	12.58	15.04	16.90	13.50	0.20	-9999	1.40	-9999	-9999
6	25	177	10.59	11.37	15.20	9.05	0.14	-9999	11.10	-9999	-9999
6	26	178	26.24	13.85	16.40	11.50	0.28	-9999	0.00	-9999	-9999
6	27	179	17.65	17.32	20.25	14.30	0.30	-9999	2.20	-9999	-9999
6	28	180	11.72	16.93	19.20	15.75	0.16	-9999	1.50	-9999	-9999
6	29	181	17.09	14.80	16.00	13.20	0.27	-9999	1.10	-9999	-9999
6	30	182	25.54	15.36	17.95	12.75	0.29	-9999	1.80	-9999	-9999
7	1	183	14.53	17.02	23.15	12.20	0.25	-9999	11.50	-9999	-9999
7	2	184	6.08	11.32	13.70	10.20	0.12	-9999	8.60	-9999	-9999
7	3	185	18.82	13.28	16.10	8.50	0.24	-9999	0.10	-9999	-9999
7	4	186	22.29	14.99	18.10	12.15	0.23	-9999	5.10	-9999	-9999
7	5	187	19.32	19.24	21.30	15.45	0.32	-9999	0.60	-9999	-9999
7	6	188	8.44	14.33	17.85	12.25	0.05	-9999	3.50	-9999	-9999
7	7	189	24.77	17.19	20.80	11.65	0.15	-9999	0.10	-9999	-9999
7	8	190	24.50	22.81	26.25	18.75	0.31	-9999	0.00	-9999	-9999
7	9	191	13.70	13.04	17.45	9.45	0.16	-9999	18.20	-9999	-9999
7	10	192	5.84	10.38	12.35	7.95	0.12	-9999	11.90	-9999	-9999
7	11	193	9.34	9.68	11.40	8.00	0.15	-9999	4.00	-9999	-9999
7	12	194	15.02	9.56	11.30	8.35	0.13	-9999	2.80	-9999	-9999
7	13	195	7.31	9.00	10.50	7.70	0.06	-9999	7.20	-9999	-9999
7	14	196	8.17	10.25	12.25	8.35	0.12	-9999	2.10	-9999	-9999
7	15	197	1.86	11.33	13.80	9.80	0.01	-9999	23.00	-9999	-9999
7	16	198	17.48	16.54	18.95	13.65	0.11	-9999	0.80	-9999	-9999
