
n_days	Rg_f	Ta_min	Ta_max	VPD_f 	 Ts_f  	Precip 	SWC	LAI
12	24.88	16,5	31,8	-9999	0.16	0	-9999	2.36
13	24.88	18,3	31,7	-9999	0.16	0	-9999	2.36
14	24.88	16,7	32,8	-9999	0.16	0	-9999	2.36
15	24.88	18,4	30,8	-9999	0.16	0	-9999	2.36
16	24.88	18,5	35	-9999	0.16	0	-9999	2.36
17	24.88	21,5	36,1	-9999	0.16	0	-9999	2.36
18	24.88	20,7	35,9	-9999	0.16	0	-9999	2.36
19	24.88	20,2	34,7	-9999	0.16	0	-9999	2.36
20	24.88	20,7	38,5	-9999	0.16	0	-9999	2.36
21	24.88	24,4	37,9	-9999	0.16	0	-9999	2.36
22	24.88	23,9	39,1	-9999	0.16	0	-9999	2.36
23	24.88	23,3	37,2	-9999	0.16	3,4	-9999	2.36
24	24.88	23,9	37,6	-9999	0.16	0	-9999	2.36
25	24.88	22	37,8	-9999	0.16	4,8	-9999	2.36
26	24.88	21,7	37,4	-9999	0.16	0	-9999	2.36
27	24.88	20,6	32,6	-9999	0.16	29,8	-9999	2.36
28	24.88	18	32,6	-9999	0.26	0	-9999	2.36
29	24.88	17,4	31,2	-9999	0.26	0	-9999	2.36
30	24.88	16,4	31,5	-9999	0.26	0	-9999	2.36
31	24.88	16	32,3	-9999	0.26	0	-9999	2.36
1	18.53	17,6	32	-9999	0.26	0	-9999	1.30
2	18.53	19,7	34,9	-9999	0.26	0	-9999	1.30
3	18.53	22,1	35,1	-9999	0.26	0	-9999	1.30
4	18.53	19,6	31,6	-9999	0.26	0,2	-9999	1.30
5	18.53	17,2	27,8	-9999	0.26	0	-9999	1.30
6	18.53	17,6	32,8	-9999	0.26	0	-9999	1.30
7	18.53	18,5	30,3	-9999	0.26	0	-9999	1.30
8	18.53	17,2	31,7	-9999	0.26	0	-9999	1.30
9	18.53	16,6	31,3	-9999	0.26	0	-9999	1.30
10	18.53	17,6	32,5	-9999	0.26	0	-9999	1.30
11	18.53	17,8	33,4	-9999	0.26	0	-9999	1.30
12	18.53	17	30,9	-9999	0.26	0	-9999	1.30
13	18.53	17,1	33,1	-9999	0.26	0	-9999	1.30
14	18.53	18,9	32	-9999	0.26	0	-9999	1.30
15	18.53	18,7	33,3	-9999	0.26	0	-9999	1.30
16	18.53	19,5	33,6	-9999	0.26	0	-9999	1.30
17	18.53	17,5	31,9	-9999	0.26	0	-9999	1.30
18	18.53	16,3	29,5	-9999	0.26	0	-9999	1.30
19	18.53	12,3	23,3	-9999	0.26	0	-9999	1.30
20	18.53	11,3	20,5	-9999	0.26	0	-9999	1.30
21	18.53	15,1	26	-9999	0.26	0	-9999	1.30
22	18.53	17,2	30,1	-9999	0.26	0	-9999	1.30
23	18.53	16,9	29,1	-9999	0.26	0	-9999	1.30
24	18.53	15	28,3	-9999	0.26	0	-9999	1.30
25	18.53	16,3	28,5	-9999	0.26	0	-9999	1.30
26	18.53	16,4	27,5	-9999	0.26	0	-9999	1.30
27	18.53	18,1	27,6	-9999	0.26	0	-9999	1.30
28	18.53	17,6	26,9	-9999	0.20	0	-9999	1.30
29	18.53	16,6	27,6	-9999	0.20	0	-9999	1.30
30	18.53	15,7	27,9	-9999	0.20	0	-9999	1.30
1	14.36	16,5	29,7	-9999	0.20	0	-9999	0.00
2	14.36	16,5	29,4	-9999	0.20	0	-9999	0.00
3	14.36	15,8	29,6	-9999	0.20	0	-9999	0.00
4	14.36	14,9	29	-9999	0.20	1	-9999	0.00
5	14.36	16,6	29,8	-9999	0.20	0,8	-9999	0.00
6	14.36	13,9	26,4	-9999	0.20	0	-9999	0.00
7	14.36	13,5	23,7	-9999	0.20	0	-9999	0.00
8	14.36	9,8	19,7	-9999	0.20	0	-9999	0.00
9	14.36	8	16,2	-9999	0.20	0	-9999	0.00
10	14.36	7,3	19,6	-9999	0.20	0	-9999	0.00
11	14.36	13,3	29,4	-9999	0.20	0	-9999	0.00
12	14.36	12,8	28,2	-9999	0.20	0	-9999	0.00
